[ INFO] [1775033721.285562717, 56.580000000]: Current Position - X: 0.91, Y: -0.02, Theta: 0.12
[ INFO] [1775033721.285646978, 56.580000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.32
[ INFO] [1775033721.285675140, 56.580000000]: Control Output - Linear X: 0.61, Linear Y: 1.00, Angular Z: 1.00
[ INFO] [1775033721.572514648, 56.681000000]: Current Position - X: 0.89, Y: -0.02, Theta: 0.12
[ INFO] [1775033721.572593469, 56.681000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.31
[ INFO] [1775033721.572621151, 56.681000000]: Control Output - Linear X: 0.57, Linear Y: 1.00, Angular Z: 1.00
[ INFO] [1775033721.773841689, 56.780000000]: Current Position - X: 0.93, Y: -0.02, Theta: 0.12
[ INFO] [1775033721.773956352, 56.780000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.33
[ INFO] [1775033721.774015299, 56.780000000]: Control Output - Linear X: 0.48, Linear Y: 1.00, Angular Z: 1.00
[ INFO] [1775033722.062945943, 56.880000000]: Current Position - X: 1.01, Y: -0.01, Theta: 0.13
[ INFO] [1775033722.063068190, 56.880000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.13
[ INFO] [1775033722.063125314, 56.880000000]: Control Output - Linear X: -1.00, Linear Y: -1.00, Angular Z: 1.00
[ INFO] [1775033722.315847448, 56.980000000]: Current Position - X: 1.05, Y: -0.01, Theta: 0.16
[ INFO] [1775033722.315945726, 56.980000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.13
[ INFO] [1775033722.315974752, 56.980000000]: Control Output - Linear X: -1.00, Linear Y: 0.01, Angular Z: 1.00
[ INFO] [1775033722.485244267, 57.080000000]: Current Position - X: 1.03, Y: -0.02, Theta: 0.17
[ INFO] [1775033722.485366386, 57.080000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.13
[ INFO] [1775033722.485423766, 57.080000000]: Control Output - Linear X: -1.00, Linear Y: 0.02, Angular Z: 1.00
[ INFO] [1775033722.653954386, 57.180000000]: Current Position - X: 0.97, Y: -0.03, Theta: 0.18
[ INFO] [1775033722.654039384, 57.180000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.35
[ INFO] [1775033722.654064825, 57.180000000]: Control Output - Linear X: 1.00, Linear Y: 1.00, Angular Z: -0.62
[ INFO] [1775033722.888894536, 57.280000000]: Current Position - X: 0.90, Y: -0.04, Theta: 0.20
[ INFO] [1775033722.888982765, 57.280000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.32
[ INFO] [1775033722.889009903, 57.280000000]: Control Output - Linear X: 0.61, Linear Y: 1.00, Angular Z: 1.00
[ INFO] [1775033723.174206005, 57.380000000]: Current Position - X: 0.91, Y: -0.04, Theta: 0.19
[ INFO] [1775033723.174288506, 57.380000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.32
[ INFO] [1775033723.174316284, 57.380000000]: Control Output - Linear X: 0.53, Linear Y: 1.00, Angular Z: 1.00
[ INFO] [1775033723.387827096, 57.480000000]: Current Position - X: 0.96, Y: -0.03, Theta: 0.19
[ INFO] [1775033723.387912573, 57.480000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.34
[ INFO] [1775033723.387941823, 57.480000000]: Control Output - Linear X: 0.44, Linear Y: 1.00, Angular Z: 1.00
[ INFO] [1775033723.694768204, 57.580000000]: Current Position - X: 1.04, Y: -0.02, Theta: 0.21
[ INFO] [1775033723.694871795, 57.580000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.12
[ INFO] [1775033723.694921270, 57.580000000]: Control Output - Linear X: -1.00, Linear Y: -1.00, Angular Z: 1.00
[ INFO] [1775033723.995340399, 57.680000000]: Current Position - X: 1.06, Y: -0.02, Theta: 0.26
